Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
不错	不錯	búcuò	not bad	no está mal	这家饭馆的菜不错。	The food at this restaurant is pretty good.	La comida de este restaurante no está mal.	挺好 (tǐng hǎo) - pretty good	挺好 (tǐng hǎo) - bastante bien	令人满意，相当好	satisfactory, quite good	satisfactorio, bastante bueno
不好意思	不好意思	bù hǎoyìsi	embarrassed	avergonzado	不好意思，我来晚了。	Sorry, I'm late.	Perdona, he llegado tarde.	抱歉 (bàoqiàn) - sorry	抱歉 (bàoqiàn) - disculpa	感到难为情或抱歉	to feel embarrassed or apologetic	sentirse avergonzado o apenado
长	長	cháng	long	largo	她的头发很长。	Her hair is very long.	Su pelo es muy largo.			两端之间的距离大	having a great distance between two ends	que tiene una gran distancia entre sus dos extremos
车站	車站	chēzhàn	station	estación	车站离这儿不远。	The station isn't far from here.	La estación no está lejos de aquí.			供车辆停靠、乘客上下车的地方	a place where vehicles stop for passengers	lugar donde se detienen los vehículos para que suban o bajen los pasajeros
出	出	chū	to go out	salir	他出了门就走了。	He went out the door and left.	Salió por la puerta y se fue.			从里面到外面	to move from inside to outside	pasar de dentro hacia fuera
出国	出國	chūguó	to go abroad	ir al extranjero	他明年打算出国留学。	He plans to study abroad next year.	Planea ir al extranjero a estudiar el año que viene.			离开本国到国外去	to leave one's own country and go abroad	salir del propio país hacia el extranjero
出来	出來	chūlái	to come out	salir (hacia aquí)	你能出来一下吗？	Can you come out for a moment?	¿Puedes salir un momento?			从里面到外面，向说话人的方向	to move from inside to outside, toward the speaker	moverse de dentro hacia fuera, en dirección al hablante
出门	出門	chūmén	to go out	salir de casa	下雨了，出门要带伞。	It's raining, bring an umbrella when you go out.	Está lloviendo, hay que llevar paraguas al salir.			离开家去外面	to leave home and go outside	salir de casa
出去	出去	chūqù	to go out	salir	我们出去走走吧。	Let's go out for a walk.	Vamos a salir a caminar.			从里面到外面，离开说话人的方向	to move from inside to outside, away from the speaker	moverse de dentro hacia fuera, alejándose del hablante
床	床	chuáng	bed	cama	我的床很舒服。	My bed is very comfortable.	Mi cama es muy cómoda.			供人躺着睡觉的家具	furniture for lying down to sleep	mueble para tumbarse y dormir
词	詞	cí	word	palabra	这个词是什么意思？	What does this word mean?	¿Qué significa esta palabra?			语言里最小的、可以自由运用的单位	the smallest freely usable unit in language	la unidad más pequeña y de uso libre en el lenguaje
次	次	cì	time (occasion)	vez	我去过两次北京。	I've been to Beijing twice.	He estado en Pekín dos veces.			表示动作发生次数的量词	measure word indicating the number of times an action occurs	clasificador que indica el número de veces que ocurre una acción
从	從	cóng	from	desde	我从家里走到学校。	I walk from home to school.	Camino desde casa hasta la escuela.			表示起点	indicates a starting point	indica un punto de partida
从小	從小	cóngxiǎo	since childhood	desde pequeño	他从小就喜欢音乐。	He has liked music since childhood.	Le ha gustado la música desde pequeño.			从小时候起	from childhood onward	desde la infancia
错	錯	cuò	wrong	equivocado	这个答案错了。	This answer is wrong.	Esta respuesta está mal.			不正确	incorrect	incorrecto
打	打	dǎ	to hit, to play	golpear, jugar	他喜欢打篮球。	He likes to play basketball.	Le gusta jugar al baloncesto.			用手或工具撞击	to strike with the hand or a tool	golpear con la mano o una herramienta
打车	打車	dǎchē	to take a taxi	coger un taxi	我们打车去机场吧。	Let's take a taxi to the airport.	Vamos a coger un taxi al aeropuerto.			乘坐出租车	to ride in a taxi	viajar en taxi
打开	打開	dǎkāi	to open	abrir	请打开窗户。	Please open the window.	Por favor, abre la ventana.			使关闭的东西变成开着的	to make something closed become open	hacer que algo cerrado quede abierto
但	但	dàn	but	pero	他很累，但还在工作。	He's tired, but still working.	Está cansado, pero sigue trabajando.	但是 (dànshì) - but	但是 (dànshì) - pero	表示转折	indicates a turn/contrast	indica un contraste
但是	但是	dànshì	but	pero	我想去，但是没有时间。	I want to go, but I don't have time.	Quiero ir, pero no tengo tiempo.	可是 (kěshì) - but	可是 (kěshì) - pero	表示转折，比"但"更常用	indicates contrast, more common than "但"	indica contraste, más usado que "但"
得	得	de	(particle of degree/result)	(partícula de grado/resultado)	他跑得很快。	He runs very fast.	Corre muy rápido.			用在动词后面，连接表示程度或结果的补语	used after a verb to link a complement of degree or result	se usa tras un verbo para enlazar un complemento de grado o resultado
地	地	de	(adverbial particle)	(partícula adverbial)	他慢慢地走进教室。	He walked slowly into the classroom.	Entró despacio en el aula.			用在形容词后面，使其成为状语	used after an adjective to turn it into an adverbial	se usa tras un adjetivo para convertirlo en adverbio
等	等	děng	to wait	esperar	请等我一下。	Please wait for me a moment.	Por favor, espérame un momento.			停留，直到需要的人或事物出现	to stay until a needed person or thing appears	permanecer hasta que aparezca la persona o cosa esperada
地铁	地鐵	dìtiě	subway	metro	我每天坐地铁上班。	I take the subway to work every day.	Cojo el metro para ir al trabajo todos los días.			在地下运行的火车	a train that runs underground	tren que circula bajo tierra
点	點	diǎn	to order (food); dot	pedir; punto	我们点了三个菜。	We ordered three dishes.	Pedimos tres platos.			表示选定，或细小的痕迹	to select, or a small mark/dot	seleccionar, o una marca pequeña
懂	懂	dǒng	to understand	entender	你懂我的意思吗？	Do you understand what I mean?	¿Entiendes lo que quiero decir?			知道，了解	to know, to comprehend	saber, comprender
动	動	dòng	to move	mover(se)	别动，站好！	Don't move, stand still!	No te muevas, quédate quieto.			改变原来的位置	to change one's original position	cambiar de posición original
饭馆	飯館	fànguǎn	restaurant	restaurante	这家饭馆的菜很好吃。	The food at this restaurant is delicious.	La comida de este restaurante está muy rica.			供人吃饭的地方	a place for people to eat	lugar donde la gente come
飞	飛	fēi	to fly	volar	小鸟在天上飞。	The little bird is flying in the sky.	El pajarito vuela en el cielo.			在空中活动	to move through the air	moverse por el aire
高	高	gāo	tall, high	alto	他比我高。	He's taller than me.	Él es más alto que yo.			从下到上的距离大	having a great distance from bottom to top	que tiene gran distancia de abajo hacia arriba
高中	高中	gāozhōng	high school	instituto	我姐姐在读高中。	My older sister is in high school.	Mi hermana mayor está en el instituto.			高级中学	senior secondary school	escuela secundaria superior
告诉	告訴	gàosu	to tell	decir	请告诉我你的名字。	Please tell me your name.	Por favor, dime tu nombre.			说给人听，使人知道	to say to someone so they know	decir a alguien para que lo sepa
个子	個子	gèzi	height, stature	estatura	他的个子很高。	He is very tall (in stature).	Él es de estatura muy alta.			人的身材高矮	a person's height/build	la estatura de una persona
跟	跟	gēn	with; to follow	con; seguir	我跟朋友一起去看电影。	I went to watch a movie with a friend.	Fui al cine con un amigo.			表示共同，或紧随其后	indicates accompaniment, or following closely	indica acompañamiento, o seguir de cerca
公交车	公交車	gōngjiāochē	bus	autobús	我坐公交车去学校。	I take the bus to school.	Voy a la escuela en autobús.			公共交通使用的汽车	a vehicle used for public transport	vehículo usado para el transporte público
过	過	guò	to pass, to cross	pasar, cruzar	火车过了桥。	The train crossed the bridge.	El tren cruzó el puente.			从一处到另一处；也用在动词后表示曾经发生过	to move from one place to another; also used after a verb to indicate past experience	pasar de un lugar a otro; también se usa tras un verbo para indicar experiencia pasada
过来	過來	guòlái	to come over	venir	你能过来一下吗？	Can you come over for a moment?	¿Puedes venir un momento?			从别处到说话人这里	to move from elsewhere to where the speaker is	moverse desde otro lugar hacia donde está el hablante
过年	過年	guònián	to celebrate the New Year	celebrar el Año Nuevo	我们全家一起过年。	Our whole family celebrates the New Year together.	Toda mi familia celebra el Año Nuevo junta.			庆祝新年	to celebrate the new year	celebrar el año nuevo
过去	過去	guòqù	to go over	ir hacia allí	你可以走过去。	You can walk over there.	Puedes ir caminando hasta allí.			从这里到那里	to move from here to there	moverse de aquí hacia allá
还是	還是	háishi	still; or	todavía; o	你要茶还是咖啡？	Do you want tea or coffee?	¿Quieres té o café?			表示选择，或情况不变	indicates a choice, or that a situation remains unchanged	indica una elección, o que la situación no cambia
黑色	黑色	hēisè	black	negro	他穿着黑色的鞋子。	He is wearing black shoes.	Lleva zapatos negros.			像煤炭一样的颜色	a color like coal	color como el del carbón
红茶	紅茶	hóngchá	black tea	té negro	我早上喜欢喝红茶。	I like to drink black tea in the morning.	Me gusta tomar té negro por la mañana.			一种经过发酵的茶	a type of fermented tea	un tipo de té fermentado
红色	紅色	hóngsè	red	rojo	她喜欢红色的花。	She likes red flowers.	A ella le gustan las flores rojas.			像血一样的颜色	a color like blood	color como el de la sangre
后面	後面	hòumiàn	behind	detrás	他坐在我后面。	He sits behind me.	Él se sienta detrás de mí.			位置或次序在后	a position or order that is behind	posición u orden que está detrás
花	花	huā	flower; to spend (money/time)	flor; gastar	我花了很多钱买花。	I spent a lot of money buying flowers.	Gasté mucho dinero comprando flores.			植物开花的部分；也指用掉钱或时间	the blooming part of a plant; also to use up money or time	la parte florida de una planta; también gastar dinero o tiempo
画	畫	huà	to draw, to paint	dibujar, pintar	她喜欢画画儿。	She likes to draw/paint.	A ella le gusta pintar.			用笔等工具做出图形	to create an image using a tool such as a pen	crear una imagen con una herramienta como un lápiz
坏	壞	huài	bad, broken	malo, roto	我的手机坏了。	My phone is broken.	Mi teléfono está roto.			破损，或品质不好	damaged, or of poor quality	dañado, o de mala calidad
回来	回來	huílái	to come back	volver	你什么时候回来？	When will you come back?	¿Cuándo vuelves?			从别处回到说话人这里	to return from elsewhere to where the speaker is	regresar de otro lugar a donde está el hablante
回去	回去	huíqù	to go back	regresar	天晚了，我们回去吧。	It's late, let's go back.	Se ha hecho tarde, volvamos.			从这里回到原来的地方	to return from here to the original place	regresar de aquí al lugar original
机场	機場	jīchǎng	airport	aeropuerto	我在机场等你。	I'll wait for you at the airport.	Te espero en el aeropuerto.			供飞机起降的地方	a place for planes to take off and land	lugar donde despegan y aterrizan los aviones
机票	機票	jīpiào	airplane ticket	billete de avión	我已经买了机票。	I've already bought the plane ticket.	Ya he comprado el billete de avión.			乘坐飞机用的票	a ticket used for taking a plane	billete que se usa para volar en avión
记得	記得	jìde	to remember	recordar	我不记得他的名字了。	I don't remember his name anymore.	Ya no recuerdo su nombre.			把过去的事保存在记忆里	to keep something from the past in one's memory	conservar algo del pasado en la memoria
间	間	jiān	measure word for rooms; between	(clasificador de habitaciones); entre	这间教室很大。	This classroom is very big.	Esta aula es muy grande.			房间的量词；也指两者之内	measure word for rooms; also "between"	clasificador de habitaciones; también "entre"
教	教	jiāo	to teach	enseñar	她教我们汉语。	She teaches us Chinese.	Ella nos enseña chino.			把知识或技能传授给别人	to pass knowledge or skills to others	transmitir conocimientos o habilidades a otros
教室	教室	jiàoshì	classroom	aula	学生们都在教室里。	The students are all in the classroom.	Los estudiantes están todos en el aula.			学校里上课的房间	a room in a school for holding classes	habitación de una escuela donde se dan clases
介绍	介紹	jièshào	to introduce	presentar	我来介绍一下我的朋友。	Let me introduce my friend.	Deja que te presente a mi amigo.			使双方相识，或说明情况	to make two parties acquainted, or explain a situation	hacer que dos partes se conozcan, o explicar una situación
进	進	jìn	to enter	entrar	请进。	Please come in.	Adelante, pasa.			从外面到里面	to move from outside to inside	pasar de afuera hacia adentro
近	近	jìn	near	cerca	学校离我家很近。	The school is very close to my house.	La escuela está muy cerca de mi casa.			距离短	a short distance	distancia corta
进来	進來	jìnlái	to come in	entrar	你可以进来了。	You can come in now.	Ya puedes entrar.			从外面到说话人所在的里面	to move from outside into where the speaker is	pasar de afuera hacia donde está el hablante
进去	進去	jìnqù	to go in	entrar	我们一起进去吧。	Let's go in together.	Entremos juntos.			从外面到里面去	to move from outside to inside	pasar de afuera hacia adentro
经常	經常	jīngcháng	often	a menudo	他经常迟到。	He is often late.	Él llega tarde a menudo.			时常，多次	frequently, many times	con frecuencia, muchas veces
酒店	酒店	jiǔdiàn	hotel	hotel	我们住在一家酒店里。	We're staying at a hotel.	Nos alojamos en un hotel.			供旅客住宿的地方	a place for travelers to stay	lugar donde se alojan los viajeros
就	就	jiù	just, then	enseguida, entonces	我马上就来。	I'll come right away.	Ya voy enseguida.			强调时间短或紧接着发生	emphasizes a short time or something happening right after	enfatiza un tiempo corto o algo que ocurre justo después
咖啡	咖啡	kāfēi	coffee	café	我每天早上喝咖啡。	I drink coffee every morning.	Tomo café todas las mañanas.			一种带苦味的饮料	a bitter-tasting beverage	una bebida de sabor amargo
开始	開始	kāishǐ	to start	empezar	电影马上开始了。	The movie is about to start.	La película está a punto de empezar.			从头做起，事情的最初阶段	to begin doing something, the initial stage of an event	empezar a hacer algo, la etapa inicial de un evento
开学	開學	kāixué	school starts	empezar las clases	我们下周开学。	School starts for us next week.	Empezamos las clases la semana que viene.			新学期开始上课	a new semester begins classes	comienza un nuevo semestre de clases
考	考	kǎo	to test	examinar(se)	明天要考数学。	Tomorrow there's a math test.	Mañana hay examen de matemáticas.			通过问题检查知识水平	to check knowledge level through questions	comprobar el nivel de conocimiento mediante preguntas
考试	考試	kǎoshì	exam	examen	这次考试很难。	This exam was very difficult.	Este examen fue muy difícil.			用题目检验学习效果的活动	an activity that tests learning through questions	una actividad que evalúa el aprendizaje mediante preguntas
可能	可能	kěnéng	possible, maybe	posible, quizás	他可能不来了。	He might not come.	Puede que no venga.			也许，有实现的希望	perhaps, there's a chance it could happen	quizás, existe la posibilidad de que ocurra
裤子	褲子	kùzi	pants	pantalones	这条裤子有点儿长。	These pants are a bit long.	Estos pantalones son un poco largos.			穿在腿上的衣服	clothing worn on the legs	prenda que se usa en las piernas
快	快	kuài	fast	rápido	请快一点儿。	Please hurry up a little.	Date prisa, por favor.			速度高，用时短	high speed, short time used	velocidad alta, poco tiempo empleado
快乐	快樂	kuàilè	happy	feliz	祝你生日快乐！	Happy birthday to you!	¡Feliz cumpleaños!	高兴 (gāoxìng) - happy	高兴 (gāoxìng) - contento	心情好，感到愉快	in a good mood, feeling pleased	de buen humor, sintiéndose contento
快要	快要	kuàiyào	soon	pronto	火车快要到了。	The train is about to arrive.	El tren está a punto de llegar.			表示某事很快发生	indicates something will happen soon	indica que algo ocurrirá pronto
篮球	籃球	lánqiú	basketball	baloncesto	他每天打篮球。	He plays basketball every day.	Él juega al baloncesto todos los días.			一种球类运动	a type of ball sport	un tipo de deporte de pelota
累	累	lèi	tired	cansado	我今天很累。	I'm very tired today.	Hoy estoy muy cansado.			身体或精神疲乏	physically or mentally fatigued	fatigado física o mentalmente
离	離	lí	away from	lejos de	我家离公司很远。	My home is far from the office.	Mi casa está lejos de la oficina.			表示两地之间的距离	indicates the distance between two places	indica la distancia entre dos lugares
里面	裡面	lǐmiàn	inside	dentro	包里面有一本书。	There is a book inside the bag.	Dentro de la bolsa hay un libro.			内部空间	interior space	espacio interior
楼	樓	lóu	building, floor	edificio, piso	我住在五楼。	I live on the fifth floor.	Vivo en el quinto piso.			两层以上的房屋，或其中一层	a building of two or more stories, or one of its floors	edificio de dos o más plantas, o una de sus plantas
路	路	lù	road	carretera	这条路很长。	This road is very long.	Esta carretera es muy larga.			供人或车行走的通道	a route for people or vehicles to travel	vía por la que transitan personas o vehículos
路上	路上	lùshang	on the road	en el camino	我在路上看到了他。	I saw him on the road.	Lo vi por el camino.			道路之中，或途中	on the road, or along the way	en el camino, o durante el trayecto
旅游	旅遊	lǚyóu	to travel	viajar	我们暑假去旅游。	We're going traveling during summer vacation.	Vamos a viajar en las vacaciones de verano.			为了游览而外出	to go out for sightseeing	salir con el fin de hacer turismo
绿茶	綠茶	lǜchá	green tea	té verde	绿茶对身体好。	Green tea is good for the body.	El té verde es bueno para la salud.			一种没有发酵的茶	a type of unfermented tea	un tipo de té no fermentado
绿色	綠色	lǜsè	green	verde	树叶是绿色的。	Leaves are green.	Las hojas son verdes.			像草和树叶一样的颜色	a color like grass and leaves	color como el de la hierba y las hojas
慢	慢	màn	slow	lento	请说慢一点儿。	Please speak a bit more slowly.	Habla un poco más despacio, por favor.			速度低，用时长	low speed, long time used	velocidad baja, mucho tiempo empleado
没意思	沒意思	méi yìsi	boring	aburrido	这部电影真没意思。	This movie is really boring.	Esta película es muy aburrida.			不吸引人，没有趣味	not engaging, lacking interest	no atractivo, sin interés
每	每	měi	every	cada	我每天六点起床。	I get up at six every day.	Me levanto a las seis todos los días.			全部之中的任何一个	any one among the whole	cualquiera dentro del conjunto total
门	門	mén	door	puerta	请关上门。	Please close the door.	Cierra la puerta, por favor.			供人出入的装置	a device for people to go in and out	dispositivo por el que entra y sale la gente
门口	門口	ménkǒu	doorway, entrance	entrada	他在门口等我。	He's waiting for me at the doorway.	Me espera en la puerta.			门的地方，出入口	the location of a door, an entrance	el lugar de una puerta, una entrada
门票	門票	ménpiào	ticket (admission)	entrada (billete)	这里的门票很便宜。	The admission ticket here is very cheap.	La entrada aquí es muy barata.			进入某地需要的票	a ticket needed to enter a place	billete necesario para entrar en un lugar
面	面	miàn	side, aspect	lado, aspecto	桌子上面有一本书。	There's a book on top of the table.	Hay un libro encima de la mesa.			方面，或物体的表面	an aspect, or the surface of an object	un aspecto, o la superficie de un objeto
名	名	míng	name	nombre	他在班里排名第一。	He ranks first in the class.	Él ocupa el primer puesto en la clase.			名字，或人的名声	a name, or a person's reputation	un nombre, o la reputación de una persona
拿	拿	ná	to take, to hold	coger, sostener	请把书拿给我。	Please hand me the book.	Por favor, dame el libro.			用手抓住并带着	to grasp with the hand and carry	sujetar con la mano y llevar
那么	那麼	nàme	so, like that	tan, así	天气那么冷，你要穿外套。	The weather is so cold, you should wear a coat.	Hace tanto frío que deberías ponerte un abrigo.			表示程度深，或那样	indicates a high degree, or "like that"	indica un grado alto, o "de esa manera"
那样	那樣	nàyàng	like that	de esa manera	别那样说话。	Don't talk like that.	No hables así.			那种样子	that kind of manner	esa clase de manera
奶茶	奶茶	nǎichá	milk tea	té con leche	她最喜欢喝奶茶。	She likes to drink milk tea the most.	Lo que más le gusta beber es el té con leche.			加了奶的茶饮料	a tea beverage with milk added	bebida de té con leche añadida
奶奶	奶奶	nǎinai	grandmother	abuela	我奶奶今年八十岁。	My grandmother is eighty this year.	Mi abuela tiene ochenta años este año.			父亲的母亲	one's father's mother	la madre del padre
男孩儿	男孩兒	nánháir	boy	chico	那个男孩儿在踢足球。	That boy is playing soccer.	Ese chico está jugando al fútbol.			男性的小孩	a male child	un niño de sexo masculino
鸟	鳥	niǎo	bird	pájaro	树上有很多鸟。	There are many birds in the tree.	Hay muchos pájaros en el árbol.			有羽毛、会飞的动物	a feathered, flying animal	animal con plumas que puede volar
女孩儿	女孩兒	nǚháir	girl	chica	那个女孩儿在唱歌。	That girl is singing.	Esa chica está cantando.			女性的小孩	a female child	una niña de sexo femenino
旁边	旁邊	pángbiān	side	lado	我坐在他旁边。	I sit beside him.	Me siento a su lado.			靠近的地方	a nearby place	un lugar cercano
跑	跑	pǎo	to run	correr	他跑得很快。	He runs very fast.	Él corre muy rápido.			用腿快速前进	to move forward quickly using the legs	avanzar rápidamente usando las piernas
跑步	跑步	pǎobù	to jog, to run	correr (ejercicio)	我每天早上跑步。	I run every morning.	Corro todas las mañanas.			为锻炼身体而跑	to run for physical exercise	correr para hacer ejercicio físico
票	票	piào	ticket	entrada, billete	我买了两张票。	I bought two tickets.	Compré dos entradas.			用作凭证的纸片	a piece of paper used as proof	un papel que sirve como comprobante
妻子	妻子	qīzi	wife	esposa	他的妻子是老师。	His wife is a teacher.	Su esposa es profesora.			男子的配偶	a man's spouse	la cónyuge de un hombre
起来	起來	qǐlái	to get up	levantarse	快起来，要迟到了！	Get up quickly, we'll be late!	¡Levántate rápido, vamos a llegar tarde!			从坐或躺的姿势变为站立	to change from sitting or lying to standing	pasar de estar sentado o tumbado a estar de pie
前面	前面	qiánmiàn	front	delante	他坐在我前面。	He sits in front of me.	Él se sienta delante de mí.			位置或次序在前	a position or order that is in front	posición u orden que está delante
晴	晴	qíng	sunny	soleado	今天天气很晴。	The weather is very sunny today.	Hoy hace un día muy soleado.			天空没有云，阳光充足	no clouds in the sky, plenty of sunshine	sin nubes en el cielo, con mucho sol
球	球	qiú	ball	pelota	孩子们在踢球。	The children are playing (kicking) ball.	Los niños están jugando a la pelota.			圆形的运动器具	a round piece of sports equipment	un implemento deportivo de forma redonda
让	讓	ràng	to let, to allow	dejar, permitir	妈妈让我早点回家。	Mom told me to come home early.	Mamá me dijo que volviera pronto a casa.			允许，或使某事发生	to permit, or to cause something to happen	permitir, o hacer que algo ocurra
肉	肉	ròu	meat	carne	我不喜欢吃肉。	I don't like eating meat.	No me gusta comer carne.			动物身上可以吃的部分	the edible part of an animal's body	la parte comestible del cuerpo de un animal
商场	商場	shāngchǎng	shopping mall	centro comercial	周末我们去商场买东西。	We're going to the mall to shop this weekend.	Este fin de semana vamos al centro comercial a comprar.			卖各种商品的大商店	a large store selling various goods	gran tienda que vende diversos productos
上来	上來	shànglái	to come up	subir	你可以上来看看。	You can come up and take a look.	Puedes subir a echar un vistazo.			从低处到高处，向说话人靠近	to move from a lower to a higher place, toward the speaker	moverse de un lugar más bajo a uno más alto, acercándose al hablante
上面	上面	shàngmiàn	above	encima	书在桌子上面。	The book is on top of the table.	El libro está encima de la mesa.			位置较高的地方	a higher location	un lugar de posición más alta
上去	上去	shàngqù	to go up	subir	我们坐电梯上去吧。	Let's take the elevator up.	Subamos en el ascensor.			从低处到高处，离开说话人	to move from a lower to a higher place, away from the speaker	moverse de un lugar más bajo a uno más alto, alejándose del hablante
上网	上網	shàngwǎng	to go online	conectarse a internet	我每天都上网。	I go online every day.	Me conecto a internet todos los días.			连接互联网	to connect to the internet	conectarse a internet
身体	身體	shēntǐ	body	cuerpo	多运动对身体好。	Exercising more is good for the body.	Hacer más ejercicio es bueno para la salud.			人或动物的整个生理组织	the entire physiological structure of a person or animal	toda la estructura fisiológica de una persona o animal
生日	生日	shēngrì	birthday	cumpleaños	今天是我的生日。	Today is my birthday.	Hoy es mi cumpleaños.			出生的那一天，每年纪念的日子	the day one was born, commemorated yearly	el día en que uno nació, que se conmemora cada año
时	時	shí	time	tiempo, momento	到时你就知道了。	You'll know when the time comes.	Lo sabrás cuando llegue el momento.			时间，或某个时候	time, or a particular moment	tiempo, o un momento determinado
事情	事情	shìqing	matter, affair	asunto	我有点儿事情要处理。	I have a matter to deal with.	Tengo un asunto que atender.			人类活动的内容，或事件	the content of human activity, or an event	el contenido de la actividad humana, o un suceso
手	手	shǒu	hand	mano	请举手回答。	Please raise your hand to answer.	Levanta la mano para responder.			人体上肢前端的部分	the front part of the upper limb of the human body	la parte delantera de la extremidad superior del cuerpo humano
手表	手錶	shǒubiǎo	watch (wristwatch)	reloj de pulsera	他戴着一块手表。	He is wearing a watch.	Lleva puesto un reloj de pulsera.			戴在手腕上看时间的表	a device worn on the wrist to tell time	dispositivo que se lleva en la muñeca para ver la hora
书包	書包	shūbāo	backpack	mochila	他的书包很重。	His backpack is very heavy.	Su mochila pesa mucho.			装书本的包	a bag for carrying books	bolsa para llevar libros
舒服	舒服	shūfu	comfortable	cómodo	这把椅子很舒服。	This chair is very comfortable.	Esta silla es muy cómoda.	舒适 (shūshì) - comfortable	舒适 (shūshì) - cómodo	身体或心理感到轻松愉快	feeling physically or mentally relaxed and pleasant	sentirse física o mentalmente relajado y a gusto
送	送	sòng	to give, to send	dar, enviar	我送你一件礼物。	I'll give you a gift.	Te voy a dar un regalo.			把东西给人，或陪人离开	to give something to someone, or accompany someone as they leave	dar algo a alguien, o acompañar a alguien mientras se va
虽然	雖然	suīrán	although	aunque	虽然下雨，但他还是来了。	Although it's raining, he still came.	Aunque llueve, él vino de todos modos.			表示让步	indicates a concession	indica una concesión
所以	所以	suǒyǐ	so, therefore	así que	我很累，所以早点睡了。	I was very tired, so I went to sleep early.	Estaba muy cansado, así que me dormí temprano.			表示因果关系中的结果	indicates the result in a cause-and-effect relationship	indica el resultado en una relación de causa y efecto
疼	疼	téng	painful	doloroso	我的头很疼。	My head hurts a lot.	Me duele mucho la cabeza.			身体感到痛苦	the body feels pain	el cuerpo siente dolor
踢	踢	tī	to kick	dar una patada	他踢了一下球。	He kicked the ball.	Él le dio una patada al balón.			用脚撞击	to strike with the foot	golpear con el pie
题	題	tí	question, topic	pregunta	这道题很难。	This question is very difficult.	Esta pregunta es muy difícil.			练习或考试中的问题	a question in an exercise or exam	una pregunta en un ejercicio o examen
条	條	tiáo	measure word for long thin objects	(clasificador de objetos largos)	桌子上有一条鱼。	There's a fish on the table.	Hay un pez sobre la mesa.			用于细长物品的量词	a measure word for long, thin objects	clasificador para objetos largos y delgados
跳舞	跳舞	tiàowǔ	to dance	bailar	他们在晚会上跳舞。	They are dancing at the party.	Están bailando en la fiesta.			随音乐做有节奏的动作	to make rhythmic movements to music	hacer movimientos rítmicos al ritmo de la música
头	頭	tóu	head	cabeza	他的头很疼。	His head hurts.	Le duele la cabeza.			人体最上部的部分	the uppermost part of the human body	la parte superior del cuerpo humano
外国	外國	wàiguó	foreign country	país extranjero	他去过很多外国。	He has been to many foreign countries.	Ha estado en muchos países extranjeros.			本国以外的国家	a country other than one's own	un país distinto al propio
外面	外面	wàimiàn	outside	fuera	外面在下雨。	It's raining outside.	Está lloviendo afuera.			外部的地方	an external place	un lugar externo
