Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
电影	電影	diàn yǐng	movie	película	这部电影很好看。	This movie is very good.	Esta película es muy buena.			在银幕上放映的影像作品	A film shown on a screen	Una obra audiovisual proyectada en pantalla
电影院	電影院	diàn yǐng yuàn	cinema	cine	我们去电影院看电影。	Let's go to the cinema to watch a movie.	Vamos al cine a ver una película.			放映电影的场所	A place where movies are shown	Un lugar donde se proyectan películas
东西	東西	dōng xi	thing	cosa	这是什么东西？	What is this thing?	¿Qué es esta cosa?			泛指各种物品	A general word for objects	Palabra general para referirse a objetos
都	都	dōu	all	todos / ambos	我们都是学生。	We are all students.	Todos somos estudiantes.			表示总括	"Indicates inclusiveness, ""all"""	"Indica totalidad, ""todos"""
读	讀	dú	to read	leer	他喜欢读书。	He likes reading books.	A él le gusta leer libros.			看着文字念出声或理解意思	To look at and understand or speak written text	Mirar un texto y pronunciarlo o comprender su significado
读书	讀書	dú shū	to study	estudiar	他每天在家读书。	He studies at home every day.	Él estudia en casa todos los días.	学习 (xué xí) - to study	学习 (xué xí) - estudiar	看书学习	To read and study	Leer y estudiar
对	對	duì	correct	correcto	你说得对。	What you said is correct.	Lo que dijiste es correcto.			符合事实或标准	In accordance with facts or standards	Que concuerda con los hechos o la norma
对不起	對不起	duì bu qǐ	sorry	lo siento	对不起，我来晚了。	Sorry, I'm late.	Lo siento, llego tarde.			表示道歉	An expression of apology	Expresión de disculpa
多	多	duō	much; many	mucho	这里的人很多。	There are many people here.	Aquí hay mucha gente.	许多 (xǔ duō) - many	许多 (xǔ duō) - muchos	数量大	A large quantity	Una gran cantidad
多少	多少	duō shao	how much/many	cuánto/s	这个多少钱？	How much is this?	¿Cuánto cuesta esto?			用于询问数量	Used to ask about quantity	Se usa para preguntar por la cantidad
儿子	兒子	ér zi	son	hijo	他有一个儿子。	He has a son.	Él tiene un hijo.	男孩 (nán hái) - boy	男孩 (nán hái) - chico	男性子女	One's male child	El hijo varón de alguien
二	二	èr	two	dos	我有二十块钱。	I have twenty yuan.	Tengo veinte yuanes.	两 (liǎng) - two	两 (liǎng) - dos	数字2	The number 2	El número 2
饭	飯	fàn	meal; rice	comida / arroz	我们一起吃饭吧。	Let's eat together.	Comamos juntos.			煮熟的米或一顿食物	Cooked rice or a meal	Arroz cocido o una comida
饭店	飯店	fàn diàn	restaurant	restaurante	这家饭店的菜很好吃。	The food at this restaurant is delicious.	La comida de este restaurante está muy rica.	餐厅 (cān tīng) - restaurant	餐厅 (cān tīng) - restaurante	供应饭菜的地方	A place that serves meals	Un lugar donde se sirven comidas
房间	房間	fáng jiān	room	habitación	我的房间很大。	My room is big.	Mi habitación es grande.			房子内隔开的一间空间	A separated space inside a house	Un espacio separado dentro de una casa
非常	非常	fēi cháng	very	muy	今天非常热。	It's very hot today.	Hoy hace mucho calor.	很 (hěn) - very	很 (hěn) - muy	表示程度很高	Indicates a high degree	Indica un grado muy alto
飞机	飛機	fēi jī	airplane	avión	我们坐飞机去北京。	We're flying to Beijing.	Vamos a Pekín en avión.			在空中飞行的交通工具	A vehicle that flies in the air	Un vehículo que vuela por el aire
分	分	fēn	minute; to divide	minuto / dividir	现在三点十分。	It's ten past three now.	Ahora son las tres y diez.			时间单位，也指分开	A unit of time; also means to divide	Unidad de tiempo; también significa dividir
分钟	分鐘	fēn zhōng	minute	minuto	休息十分钟。	Take a ten-minute break.	Descansa diez minutos.			计时单位，六十秒	A unit of time equal to sixty seconds	Unidad de tiempo equivalente a sesenta segundos
高兴	高興	gāo xìng	happy	contento / feliz	认识你我很高兴。	I'm happy to meet you.	Me alegro de conocerte.	开心 (kāi xīn) - happy	开心 (kāi xīn) - feliz	心情愉快	A cheerful state of mind	Un estado de ánimo alegre
歌	歌	gē	song	canción	她唱了一首歌。	She sang a song.	Ella cantó una canción.			可以唱的音乐作品	A piece of music that can be sung	Una obra musical que se puede cantar
哥哥	哥哥	gē ge	older brother	hermano mayor	我哥哥在北京工作。	My older brother works in Beijing.	Mi hermano mayor trabaja en Pekín.	兄弟 (xiōng dì) - brother	兄弟 (xiōng dì) - hermano	比自己大的男性兄弟	One's elder male sibling	El hermano varón mayor que uno mismo
个	個	gè	measure word	(clasificador general)	我有三个苹果。	I have three apples.	Tengo tres manzanas.			用于人或事物的通用量词	A general measure word for people or things	Clasificador general para personas o cosas
给	給	gěi	to give	dar	妈妈给我一本书。	Mom gave me a book.	Mamá me dio un libro.			使别人得到某物	To let someone have something	Hacer que otra persona reciba algo
公司	公司	gōng sī	company	empresa	他在一家公司工作。	He works at a company.	Él trabaja en una empresa.			从事生产经营活动的组织	An organization engaged in business	Una organización dedicada a la actividad empresarial
工作	工作	gōng zuò	work; job	trabajo / trabajar	他每天都要工作。	He has to work every day.	Él tiene que trabajar todos los días.			从事的职业或劳动	One's job or labor	La profesión o labor que uno realiza
狗	狗	gǒu	dog	perro	这只狗很可爱。	This dog is very cute.	Este perro es muy simpático.			一种常见的宠物动物	A common pet animal	Un animal de compañía muy común
贵	貴	guì	expensive	caro	这件衣服太贵了。	This piece of clothing is too expensive.	Esta prenda es demasiado cara.	便宜 (pián yi) - cheap（反义）	便宜 (pián yi) - barato (antónimo)	价钱高	High in price	De precio alto
国	國	guó	country	país	中国是一个大国。	China is a large country.	China es un país grande.	国家 (guó jiā) - nation	国家 (guó jiā) - nación	一个独立的政治地区	An independent political territory	Una región política independiente
还	還	hái	still; also	todavía / también	他还没起床。	He hasn't gotten up yet.	Él todavía no se ha levantado.			表示动作或状态持续	Indicates continuation of an action or state	Indica que una acción o estado continúa
孩子	孩子	hái zi	child	niño/a	她有两个孩子。	She has two children.	Ella tiene dos hijos.	小孩 (xiǎo hái) - kid	小孩 (xiǎo hái) - niño	年龄小的人	A young person	Una persona de corta edad
汉语	漢語	hàn yǔ	Chinese language	idioma chino	我在学汉语。	I'm learning Chinese.	Estoy aprendiendo chino.	中文 (zhōng wén) - Chinese	中文 (zhōng wén) - chino	汉族的语言	The language of the Han Chinese people	La lengua del pueblo han
汉字	漢字	hàn zì	Chinese character	carácter chino	这个汉字很难写。	This Chinese character is hard to write.	Este carácter chino es difícil de escribir.			记录汉语的文字符号	The written symbols used for Chinese	Los símbolos escritos que se usan para el chino
好	好	hǎo	good	bueno	今天天气很好。	The weather is nice today.	Hoy hace muy buen tiempo.	不错 (bú cuò) - good	不错 (bú cuò) - bueno	令人满意的	Satisfactory or pleasing	Que resulta satisfactorio o agradable
好吃	好吃	hǎo chī	tasty	rico / sabroso	这个苹果很好吃。	This apple is delicious.	Esta manzana está muy rica.	美味 (měi wèi) - delicious	美味 (měi wèi) - delicioso	食物味道好	Food that tastes good	Comida que tiene buen sabor
好看	好看	hǎo kàn	good-looking	bonito / atractivo	这部电影很好看。	This movie is very good.	Esta película es muy buena.	漂亮 (piào liang) - pretty	漂亮 (piào liang) - bonito	看起来令人喜欢	Pleasant to look at	Que resulta agradable a la vista
好听	好聽	hǎo tīng	nice (sound)	agradable de oír	这首歌很好听。	This song sounds very nice.	Esta canción suena muy bien.			声音悦耳	Pleasant to listen to	Que suena agradable al oído
好玩儿	好玩兒	hǎo wánr	fun	divertido	这个游戏很好玩儿。	This game is very fun.	Este juego es muy divertido.	有意思 (yǒu yì si) - interesting	有意思 (yǒu yì si) - interesante	使人感到有趣	Something that is enjoyable	Algo que resulta entretenido
号	號	hào	number; day	número / día (del mes)	今天几号？	What's the date today?	¿Qué día es hoy?			表示日期或编号	Used for dates or numbering	Se usa para fechas o numeración
喝	喝	hē	to drink	beber	你想喝点茶吗？	Would you like some tea?	¿Quieres tomar té?			把液体咽下去	To swallow a liquid	Tragar un líquido
和	和	hé	and; with	y / con	我和我朋友去看电影。	My friend and I are going to a movie.	Mi amigo y yo vamos al cine.	跟 (gēn) - with	跟 (gēn) - con	表示并列关系	Indicates a connection between two things	Indica una relación de conjunto entre dos elementos
很	很	hěn	very	muy	他很高。	He is very tall.	Él es muy alto.	非常 (fēi cháng) - very	非常 (fēi cháng) - muy	表示程度深	Indicates a high degree	Indica un grado alto
后	後	hòu	behind; after	detrás / después	下课后我们去吃饭。	After class, we'll go eat.	Después de clase iremos a comer.			时间或位置在后面	Later in time or position at the back	Posterior en el tiempo o situado en la parte de atrás
回	回	huí	to return	volver / regresar	他回家了。	He went home.	Él se fue a casa.			从别处到原来的地方	To go back to the original place	Ir de un lugar al lugar de origen
会	會	huì	can; will	saber (hacer algo) / poder	我会说中文。	I can speak Chinese.	Sé hablar chino.	能 (néng) - can	能 (néng) - poder	表示有能力做某事，或表示将来	Indicates ability, or a future event	Indica capacidad para hacer algo, o un hecho futuro
火车	火車	huǒ chē	train	tren	我们坐火车去上海。	We're taking the train to Shanghai.	Vamos a Shanghái en tren.			在铁轨上行驶的交通工具	A vehicle that runs on rails	Un vehículo que circula sobre raíles
鸡蛋	雞蛋	jī dàn	egg	huevo	我早上吃了一个鸡蛋。	I ate an egg this morning.	Esta mañana comí un huevo.			鸡下的蛋	An egg laid by a chicken	Un huevo puesto por una gallina
几	幾	jǐ	how many; a few	cuántos / algunos	你家有几个人？	How many people are in your family?	¿Cuántas personas hay en tu familia?			用于询问数量或表示少量	"Used to ask ""how many"" or indicate a small number"	"Se usa para preguntar ""cuántos"" o indicar una pequeña cantidad"
家	家	jiā	home; family	casa / familia	我家在北京。	My home is in Beijing.	Mi casa está en Pekín.	家庭 (jiā tíng) - family	家庭 (jiā tíng) - familia	共同生活的亲属和居住处	One's household and residence	El hogar y los familiares con los que se convive
家人	家人	jiā rén	family member	familiar	我很爱我的家人。	I love my family very much.	Quiero mucho a mi familia.	家庭 (jiā tíng) - family	家庭 (jiā tíng) - familia	同一家庭里的成员	Members of the same family	Los miembros de una misma familia
见	見	jiàn	to see	ver	明天见！	See you tomorrow!	¡Hasta mañana!	看见 (kàn jiàn) - to see	看见 (kàn jiàn) - ver	看到，遇到	To see or meet	Ver o encontrarse con alguien
件	件	jiàn	CL: items	(clasificador: ropa, asuntos)	我买了一件衣服。	I bought a piece of clothing.	Compré una prenda de ropa.			用于衣服、事情等的量词	Measure word for clothes, matters, etc.	Clasificador para ropa, asuntos, etc.
饺子	餃子	jiǎo zi	dumpling	empanadilla china (jiaozi)	妈妈包的饺子很好吃。	The dumplings mom made are delicious.	Las empanadillas que hace mamá están muy ricas.	包子 (bāo zi) - steamed bun	包子 (bāo zi) - bollo al vapor	一种有馅的传统食品	A traditional filled food	Un alimento tradicional relleno
叫	叫	jiào	to be called	llamarse	你叫什么名字？	What is your name?	¿Cómo te llamas?			起名，或大声呼喊	To be named, or to shout	Tener por nombre, o gritar
姐姐	姐姐	jiě jie	older sister	hermana mayor	我姐姐是医生。	My older sister is a doctor.	Mi hermana mayor es médica.	姐妹 (jiě mèi) - sisters	姐妹 (jiě mèi) - hermanas	比自己大的女性姐妹	One's elder female sibling	La hermana mayor que uno mismo
今年	今年	jīn nián	this year	este año	今年我二十岁。	I'm twenty years old this year.	Este año cumplo veinte años.			现在的这一年	The current year	El año actual
今天	今天	jīn tiān	today	hoy	今天天气很好。	The weather is nice today.	Hoy hace muy buen tiempo.			现在的这一天	The current day	El día actual
九	九	jiǔ	nine	nueve	现在九点了。	It's nine o'clock now.	Ya son las nueve.			数字9	The number 9	El número 9
觉得	覺得	jué de	to feel; to think	sentir / pensar	我觉得这本书很好。	I think this book is very good.	Creo que este libro es muy bueno.	认为 (rèn wéi) - to think	认为 (rèn wéi) - considerar	对事物的看法或感受	One's opinion or feeling about something	La opinión o sensación de alguien sobre algo
开	開	kāi	to open; to drive	abrir / conducir	请开门。	Please open the door.	Abre la puerta, por favor.			使关闭的东西变成打开状态	To make something that was closed become open	Hacer que algo cerrado pase a estar abierto
开车	開車	kāi chē	to drive	conducir	他每天开车上班。	He drives to work every day.	Él conduce al trabajo todos los días.			驾驶车辆	To operate a vehicle	Manejar un vehículo
看	看	kàn	to look; to watch	mirar / ver	你在看什么？	What are you looking at?	¿Qué estás mirando?			用眼睛感受事物	To perceive something with the eyes	Percibir algo con los ojos
看病	看病	kàn bìng	to see a doctor	ir al médico	他去医院看病。	He went to the hospital to see a doctor.	Él fue al hospital a que lo viera un médico.			因生病去医院请医生检查治疗	To go to a doctor for illness	Ir al hospital para que un médico examine y trate una enfermedad
看见	看見	kàn jiàn	to see	ver	我看见他了。	I saw him.	Lo vi.	见 (jiàn) - to see	见 (jiàn) - ver	看到，感知到	To perceive with the eyes	Percibir con los ojos
可以	可以	kě yǐ	can; may	poder / se puede	我可以进来吗？	May I come in?	¿Puedo entrar?	能 (néng) - can	能 (néng) - poder	表示许可或能够	Indicates permission or ability	Indica permiso o capacidad
课	課	kè	lesson; class	clase / lección	我们今天有汉语课。	We have a Chinese class today.	Hoy tenemos clase de chino.			教学的科目或单元	A subject or unit of teaching	Una asignatura o unidad de enseñanza
口	口	kǒu	mouth	boca	他的口很大。	His mouth is big.	Tiene la boca grande.			人或动物用来吃东西说话的器官	The organ used for eating and speaking	El órgano usado para comer y hablar
块	塊	kuài	piece; yuan	trozo / yuan	这个蛋糕十块钱。	This cake costs ten yuan.	Este pastel cuesta diez yuanes.	元 (yuán) - yuan	元 (yuán) - yuan	口语中的货币单位，也指块状物	Colloquial unit of currency; also a piece/chunk	Unidad coloquial de moneda; también un trozo
来	來	lái	to come	venir	他明天来我家。	He'll come to my house tomorrow.	Él vendrá mañana a mi casa.			从别处到说话人所在的地方	To move toward the speaker's location	Moverse hacia el lugar donde está quien habla
老师	老師	lǎo shī	teacher	profesor/a	她是我的汉语老师。	She is my Chinese teacher.	Ella es mi profesora de chino.	教师 (jiào shī) - teacher	教师 (jiào shī) - docente	教学生知识的人	A person who teaches students	Una persona que enseña a los estudiantes
了	了	le	particle (completed action)	partícula (acción completada)	我吃饭了。	I have eaten.	Ya he comido.			表示动作完成或变化	Indicates a completed action or a change	Indica que una acción se ha completado o un cambio
冷	冷	lěng	cold	frío	今天很冷。	It's cold today.	Hoy hace frío.	凉 (liáng) - cool	凉 (liáng) - fresco	温度低	Low in temperature	De temperatura baja
里	裡	lǐ	inside	dentro	书在包里。	The book is in the bag.	El libro está en la bolsa.			"内部，与""外""相对"	"The inner part, opposite of ""outside"""	"La parte interior, opuesto a ""fuera"""
两	兩	liǎng	two	dos	我有两本书。	I have two books.	Tengo dos libros.	二 (èr) - two	二 (èr) - dos	数字2，多用于量词前	The number two, used before a measure word	El número 2, se usa antes de un clasificador
零	零	líng	zero	cero	现在是零度。	It's zero degrees now.	Ahora estamos a cero grados.			数字0	The number 0	El número 0
六	六	liù	six	seis	现在六点了。	It's six o'clock.	Ya son las seis.			数字6	The number 6	El número 6
妈妈	媽媽	mā ma	mom	mamá	我妈妈是医生。	My mom is a doctor.	Mi mamá es médica.	母亲 (mǔ qīn) - mother	母亲 (mǔ qīn) - madre	对母亲的称呼	A word for one's mother	Forma de llamar a la madre
吗	嗎	ma	question particle	partícula interrogativa	你是学生吗？	Are you a student?	¿Eres estudiante?			用于是非问句句末	Used at the end of a yes/no question	Se usa al final de una pregunta de sí o no
买	買	mǎi	to buy	comprar	我要买一件衣服。	I want to buy a piece of clothing.	Quiero comprar una prenda de ropa.			用钱换取东西	To acquire something with money	Adquirir algo a cambio de dinero
卖	賣	mài	to sell	vender	这家店卖水果。	This shop sells fruit.	Esta tienda vende fruta.			用东西换取钱	To exchange goods for money	Intercambiar mercancía por dinero
忙	忙	máng	busy	ocupado	他最近很忙。	He has been busy recently.	Últimamente ha estado muy ocupado.			事情多，没有空闲	Having a lot to do, no free time	Tener mucho que hacer, sin tiempo libre
猫	貓	māo	cat	gato	这只猫很漂亮。	This cat is very pretty.	Este gato es muy bonito.	狗 (gǒu) - dog	狗 (gǒu) - perro	一种常见的宠物动物	A common pet animal	Un animal de compañía muy común
没	沒	méi	not (have)	no (haber/tener)	我没时间。	I don't have time.	No tengo tiempo.	不 (bù) - not	不 (bù) - no	"用于否定过去或""有""字"	"Used to negate the past or the word ""have"""	"Se usa para negar el pasado o la palabra ""tener"""
没关系	沒關係	méi guān xi	never mind	no pasa nada	对不起。没关系。	Sorry. Never mind.	Lo siento. No pasa nada.			表示不要紧，不用在意	Used to say something doesn't matter	Se usa para decir que algo no importa
没事	沒事	méi shì	it's nothing	no es nada	你没事吧？没事。	Are you okay? I'm fine.	¿Estás bien? No es nada.	没关系 (méi guān xi) - never mind	没关系 (méi guān xi) - no pasa nada	表示没有问题或不要紧	Indicates there's no problem	Indica que no hay ningún problema
没有	沒有	méi yǒu	don't have	no tener	我没有钱。	I don't have money.	No tengo dinero.			表示不具有或不存在	Indicates the absence of something	Indica la ausencia de algo
妹妹	妹妹	mèi mei	younger sister	hermana menor	我妹妹在上学。	My younger sister is at school.	Mi hermana menor está en el colegio.	姐妹 (jiě mèi) - sisters	姐妹 (jiě mèi) - hermanas	比自己小的女性姐妹	One's younger female sibling	La hermana menor que uno mismo
们	們	men	plural marker	marcador de plural	老师们都很好。	The teachers are all nice.	Los profesores son todos muy buenos.			加在代词或名词后表示复数	Added after a pronoun/noun to show plural	Se añade tras un pronombre o sustantivo para indicar plural
米饭	米飯	mǐ fàn	cooked rice	arroz cocido	中午我吃米饭。	I'm eating rice for lunch.	Al mediodía como arroz.			煮熟的稻米	Steamed/cooked rice	Arroz cocinado al vapor o hervido
面包	麵包	miàn bāo	bread	pan	早上我吃面包。	I eat bread in the morning.	Por la mañana como pan.			用面粉烤制的食物	Food baked from flour	Alimento horneado hecho de harina
面条儿	麵條兒	miàn tiáor	noodles	fideos	我喜欢吃面条儿。	I like eating noodles.	Me gusta comer fideos.			用面粉做的条状食品	Long thin food made from flour	Alimento alargado hecho de harina
明年	明年	míng nián	next year	el año que viene	明年我要去中国。	Next year I'm going to China.	El año que viene iré a China.			今年的下一年	The year after this one	El año siguiente a este
明天	明天	míng tiān	tomorrow	mañana	明天见。	See you tomorrow.	Hasta mañana.			今天的下一天	The day after today	El día siguiente a hoy
名字	名字	míng zi	name	nombre	你叫什么名字？	What is your name?	¿Cómo te llamas?	姓名 (xìng míng) - full name	姓名 (xìng míng) - nombre completo	用来称呼人或事物的词	The word used to refer to a person or thing	La palabra usada para referirse a una persona o cosa
哪	哪	nǎ	which	cuál	你是哪国人？	Which country are you from?	¿De qué país eres?			用于询问选择	Used to ask about a choice	Se usa para preguntar por una elección
哪个	哪個	nǎ ge	which one	cuál (de ellos)	你要哪个？	Which one do you want?	¿Cuál quieres?			用于询问具体的一个	Used to ask about a specific one	Se usa para preguntar por uno concreto
哪里	哪裡	nǎ lǐ	where	dónde	你在哪里？	Where are you?	¿Dónde estás?	哪儿 (nǎr) - where	哪儿 (nǎr) - dónde	用于询问地点	Used to ask about a location	Se usa para preguntar por un lugar
哪儿	哪兒	nǎr	where	dónde	你去哪儿？	Where are you going?	¿A dónde vas?	哪里 (nǎ lǐ) - where	哪里 (nǎ lǐ) - dónde	用于询问地点，口语常用	Used to ask about a location, colloquial	Se usa para preguntar por un lugar, coloquial
哪些	哪些	nǎ xiē	which ones	cuáles	你喜欢哪些书？	Which books do you like?	¿Qué libros te gustan?			用于询问多个选择	Used to ask about multiple choices	Se usa para preguntar por varias opciones
那	那	nà	that	ese/esa/eso	那是我的书。	That is my book.	Ese es mi libro.	那个 (nà ge) - that one	那个 (nà ge) - ese	指较远的事物	Refers to something farther away	Señala algo que está más lejos
那边	那邊	nà bian	over there	allí / por allá	他在那边。	He is over there.	Él está allí.	那里 (nà lǐ) - there	那里 (nà lǐ) - allí	指较远的方位	Refers to a distant location	Señala una posición lejana
那个	那個	nà ge	that one	ese/esa (concreto)	那个人是谁？	Who is that person?	¿Quién es esa persona?	那 (nà) - that	那 (nà) - ese	指较远的具体事物	A specific thing that is farther away	Un objeto concreto que está más lejos
那里	那裡	nà lǐ	there	allí	书在那里。	The book is there.	El libro está allí.	那儿 (nàr) - there	那儿 (nàr) - allí	指较远的地点	A place that is farther away	Un lugar que está más lejos
