Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
变化	變化	biànhuà	to change; change	cambiar; cambio	这个城市变化很大。	This city has changed a lot.	Esta ciudad ha cambiado mucho.			事物在形态或性质上的转变	a transformation in the form or nature of a thing	una transformación en la forma o naturaleza de algo
表演	表演	biǎoyǎn	to perform	actuar	他们在舞台上表演。	They are performing on stage.	Están actuando en el escenario.			把技艺展示给观众看	to display a skill for an audience	mostrar una habilidad a un público
别的	別的	biéde	other	otro	你还需要别的东西吗？	Do you need anything else?	¿Necesitas algo más?			另外的	another, different	otro, distinto
别人	別人	biérén	other people	otras personas	别人都走了。	Everyone else has left.	Los demás ya se han ido.			自己以外的人	people other than oneself	personas distintas de uno mismo
宾馆	賓館	bīnguǎn	hotel	hotel	我们住在一家宾馆。	We're staying at a hotel.	Nos alojamos en un hotel.			供旅客住宿的场所	a place for travelers to stay	lugar donde se alojan los viajeros
冰	冰	bīng	ice	hielo	湖水结冰了。	The lake water has frozen.	El agua del lago se ha congelado.			水在低温下凝固成的固体	the solid water freezes into at low temperature	sólido en que se congela el agua a baja temperatura
冰激凌	冰激凌	bīngjīlíng	ice cream	helado	孩子们喜欢吃冰激凌。	Children like to eat ice cream.	A los niños les gusta comer helado.			一种冰冻的甜食	a frozen sweet food	un dulce congelado
冰箱	冰箱	bīngxiāng	refrigerator	nevera	牛奶在冰箱里。	The milk is in the refrigerator.	La leche está en la nevera.			用来保存食物的制冷设备	a cooling appliance used to preserve food	aparato refrigerante usado para conservar alimentos
病人	病人	bìngrén	patient	paciente	医生正在照顾病人。	The doctor is taking care of the patient.	El médico está atendiendo al paciente.			生病的人	a person who is ill	una persona enferma
不但	不但	búdàn	not only	no solo	她不但漂亮，而且聪明。	She is not only pretty, but also smart.	Ella no solo es guapa, sino también inteligente.			表示更进一层的意思	indicates an added, further point	indica un punto adicional
不见	不見	bújiàn	to disappear	desaparecer	我的钥匙不见了。	My keys have disappeared.	Mis llaves han desaparecido.			找不到，消失了	cannot be found, has vanished	no se puede encontrar, ha desaparecido
不用	不用	búyòng	need not	no hace falta	不用谢。	No need to thank me.	No hace falta que me lo agradezcas.			表示没有必要	indicates there's no need	indica que no es necesario
不同	不同	bù tóng	different	diferente	我们的看法不同。	Our opinions are different.	Nuestras opiniones son diferentes.			不一样	not the same	no igual
不久	不久	bùjiǔ	soon, not long after	dentro de poco	他不久就会回来。	He will be back soon.	Volverá dentro de poco.			相隔的时间短	a short interval of time	un intervalo de tiempo corto
不行	不行	bùxíng	not allowed, won't do	no vale, no se puede	这样做不行。	You can't do it this way.	No se puede hacer así.			不可以，不被允许	not permissible, not allowed	no permisible, no permitido
才	才	cái	just, only	solo, apenas	他才八岁。	He is only eight years old.	Solo tiene ocho años.			表示数量少或时间晚	indicates a small quantity or a late time	indica una cantidad pequeña o un momento tardío
菜单	菜單	càidān	menu	menú	请给我看一下菜单。	Please show me the menu.	Por favor, enséñame el menú.			列有菜名和价格的单子	a list showing dish names and prices	lista con los nombres y precios de los platos
参加	參加	cānjiā	to join, to attend	participar, asistir	我想参加这个活动。	I want to join this activity.	Quiero participar en esta actividad.			加入某种组织或活动	to join an organization or activity	unirse a una organización o actividad
草	草	cǎo	grass	hierba	草地上有很多草。	There is a lot of grass on the lawn.	Hay mucha hierba en el césped.			一种矮小的绿色植物	a small green plant	una planta verde de poca altura
草地	草地	cǎodì	grassland	césped	孩子们在草地上玩。	The children are playing on the grass.	Los niños juegan en el césped.			长满草的地方	a place covered in grass	lugar cubierto de hierba
层	層	céng	measure word for layer, floor	(clasificador de capas, pisos)	这栋楼有十层。	This building has ten floors.	Este edificio tiene diez plantas.			重叠事物的量词	a measure word for stacked things	clasificador para cosas apiladas
查	查	chá	to check	consultar, comprobar	我在网上查了这个词。	I looked up this word online.	Busqué esta palabra en internet.			为了了解情况而进行调查	to investigate in order to understand a situation	investigar para entender una situación
差	差	chà	bad, poor; to lack	malo; faltar	他的成绩比较差。	His grades are quite poor.	Sus notas son bastante malas.			不好，或不够	not good, or insufficient	no bueno, o insuficiente
差不多	差不多	chàbuduō	almost, similar	casi, parecido	我们差不多到了。	We're almost there.	Ya casi hemos llegado.			相差很小，接近	very little difference, close	diferencia muy pequeña, cercano
尝	嘗	cháng	to taste	probar	你尝尝这个菜。	Try tasting this dish.	Prueba este plato.			吃一点儿试试味道	to eat a little to test the flavor	comer un poco para probar el sabor
常	常	cháng	often, frequent	a menudo	他常去图书馆。	He often goes to the library.	Él va a menudo a la biblioteca.			时常，经常	frequently, often	con frecuencia, a menudo
常见	常見	cháng jiàn	common	común	这是一个常见的问题。	This is a common problem.	Este es un problema común.			经常见到，不少见	frequently seen, not rare	que se ve con frecuencia, no raro
常用	常用	cháng yòng	commonly used	de uso común	这是一个常用的词。	This is a commonly used word.	Esta es una palabra de uso común.			常常使用	used frequently	se usa con frecuencia
常常	常常	chángcháng	often	a menudo	我常常一个人吃饭。	I often eat alone.	A menudo como solo.			屡次，时常	repeatedly, frequently	repetidamente, con frecuencia
衬衫	襯衫	chènshān	shirt	camisa	他穿了一件白衬衫。	He wore a white shirt.	Llevaba puesta una camisa blanca.			穿在外套里面的上衣	a top worn under a jacket	prenda superior que se lleva bajo una chaqueta
成绩	成績	chéngjì	score, grade, achievement	nota, resultado	他的成绩很好。	His grades are very good.	Sus notas son muy buenas.			工作或学习的结果	the result of work or study	el resultado del trabajo o el estudio
城市	城市	chéngshì	city	ciudad	北京是一个大城市。	Beijing is a big city.	Pekín es una ciudad grande.			人口集中、工商业发达的地方	a place with a concentrated population and developed commerce/industry	lugar con población concentrada y comercio/industria desarrollados
迟到	遲到	chídào	to be late	llegar tarde	他今天上班迟到了。	He was late for work today.	Hoy llegó tarde al trabajo.			到达的时间比规定的晚	to arrive later than the scheduled time	llegar más tarde de lo previsto
出发	出發	chūfā	to set out, to leave	partir	我们明天早上出发。	We set out tomorrow morning.	Partimos mañana por la mañana.			离开出发地前往目的地	to leave the starting point for a destination	salir del punto de partida hacia un destino
出生	出生	chūshēng	to be born	nacer	他在北京出生。	He was born in Beijing.	Nació en Pekín.			胎儿从母体中生出来	a fetus is born from the mother's body	el feto nace del cuerpo de la madre
出院	出院	chūyuàn	to be discharged from hospital	recibir el alta hospitalaria	他明天就能出院了。	He can be discharged from the hospital tomorrow.	Mañana ya podrá recibir el alta.			病人治疗后离开医院	a patient leaves the hospital after treatment	un paciente deja el hospital tras el tratamiento
初中	初中	chūzhōng	junior high school	secundaria (primer ciclo)	我妹妹在读初中。	My younger sister is in junior high school.	Mi hermana pequeña está en secundaria.			初级中学	junior secondary school	escuela secundaria de primer ciclo
除了	除了	chúle	except, besides	excepto, además de	除了他，大家都来了。	Except for him, everyone came.	Excepto él, vinieron todos.			表示不计算在内，或另外增加	indicates exclusion, or an additional inclusion	indica exclusión, o una inclusión adicional
船	船	chuán	boat	barco	我们坐船去了那个岛。	We took a boat to that island.	Fuimos en barco a esa isla.			水上的交通工具	a vehicle for water transport	vehículo de transporte por agua
春天	春天	chūntiān	spring	primavera	春天到了，花都开了。	Spring has arrived, the flowers have all bloomed.	Ha llegado la primavera, las flores ya han florecido.			一年四季中的第一季	the first season of the year	la primera estación del año
词典	詞典	cídiǎn	dictionary	diccionario	我用词典查生词。	I use a dictionary to look up new words.	Uso el diccionario para buscar palabras nuevas.			收集词语并解释意义的工具书	a reference book that collects words and explains their meanings	libro de consulta que recoge palabras y explica su significado
聪明	聰明	cōngmíng	smart, clever	inteligente	这个孩子很聪明。	This child is very smart.	Este niño es muy inteligente.			智力好，理解和学习能力强	good intelligence, strong ability to understand and learn	buena inteligencia, gran capacidad de comprensión y aprendizaje
打扫	打掃	dǎsǎo	to clean	limpiar	我们周末打扫房间。	We clean the room on weekends.	Limpiamos la habitación los fines de semana.			清除脏东西，使干净	to remove dirt, to make clean	eliminar la suciedad, dejar limpio
打算	打算	dǎsuàn	to plan; plan	planear; plan	你暑假打算做什么？	What do you plan to do this summer?	¿Qué planeas hacer este verano?			事先考虑要做的事	to think in advance about what to do	pensar de antemano lo que se va a hacer
大概	大概	dàgài	general, rough; probably	general; probablemente	他大概明天到。	He will probably arrive tomorrow.	Probablemente llegue mañana.			表示估计，不十分精确	indicates an estimate, not very precise	indica una estimación, no muy precisa
大人	大人	dàren	adult	adulto	这是大人的事，小孩儿别管。	This is adults' business, kids stay out of it.	Esto es asunto de adultos, los niños no se metan.			成年人	a grown-up person	una persona adulta
大小	大小	dàxiǎo	size	tamaño	这双鞋的大小正合适。	The size of these shoes fits perfectly.	El tamaño de estos zapatos es perfecto.			尺寸的大和小	the largeness and smallness of a size	lo grande y lo pequeño de un tamaño
大熊猫	大熊貓	dàxióngmāo	giant panda	panda gigante	大熊猫是中国的国宝。	The giant panda is China's national treasure.	El panda gigante es el tesoro nacional de China.			一种黑白相间的珍稀动物	a rare black-and-white animal	un animal raro de color blanco y negro
大衣	大衣	dàyī	coat	abrigo	冬天要穿大衣。	You need to wear a coat in winter.	Hay que llevar abrigo en invierno.			冬天穿的长外套	a long outer garment worn in winter	prenda larga exterior que se lleva en invierno
带	帶	dài	to bring, to take	llevar, traer	出门记得带伞。	Remember to bring an umbrella when you go out.	Acuérdate de llevar paraguas al salir.			随身携带某物	to carry something with oneself	llevar algo consigo
担心	擔心	dānxīn	to worry	preocuparse	别担心，一切都会好的。	Don't worry, everything will be fine.	No te preocupes, todo saldrá bien.			心里不安，害怕出问题	feeling uneasy, afraid something will go wrong	sentirse inquieto, con miedo de que algo salga mal
蛋糕	蛋糕	dàngāo	cake	tarta	妈妈做了一个生日蛋糕。	Mom made a birthday cake.	Mamá hizo una tarta de cumpleaños.			用鸡蛋、面粉等做成的甜食	a sweet food made from eggs, flour, etc.	un dulce hecho con huevos, harina, etc.
当然	當然	dāngrán	of course	por supuesto	当然可以，没问题。	Of course you can, no problem.	Por supuesto que puedes, no hay problema.			理所应当，没有疑问	naturally so, without doubt	naturalmente así, sin duda
到处	到處	dàochù	everywhere	por todas partes	他到处找他的猫。	He looked everywhere for his cat.	Buscó a su gato por todas partes.			各个地方	every place	todos los lugares
得	得	dé	to get, to obtain; (děi) must	obtener, conseguir; (děi) deber	他每次考试都得第一名。	He gets first place every time in exams.	Siempre saca el primer puesto en los exámenes.			获得，取得；也读作"děi"表示必须、需要	to obtain, to gain; also read as "děi" indicating necessity	obtener, conseguir; también se lee "děi" e indica necesidad
得到	得到	dédào	to get, to obtain	obtener	他得到了大家的帮助。	He got everyone's help.	Obtuvo la ayuda de todos.			获得，取得	to obtain, to gain	obtener, conseguir
得分	得分	défēn	to score; score	marcar; puntuación	我们队又得分了。	Our team scored again.	Nuestro equipo volvió a marcar.			获得分数	to obtain points	obtener puntos
的话	的話	dehuà	(used after a conditional clause)	(tras una cláusula condicional)	如果明天下雨的话，我们就不去了。	If it rains tomorrow, we won't go.	Si mañana llueve, no iremos.			用在表示假设的分句后面	used after a clause expressing a hypothesis	se usa tras una cláusula que expresa una hipótesis
灯	燈	dēng	lamp, light	lámpara	请把灯打开。	Please turn on the light.	Por favor, enciende la luz.			用来照明的器具	a device used for lighting	aparato usado para iluminar
地	地	dì	ground, earth, land	tierra, suelo	他坐在地上休息。	He sat on the ground to rest.	Se sentó en el suelo a descansar.			陆地的表面	the surface of the land	la superficie de la tierra
地点	地點	dìdiǎn	place, location	lugar	我们约好了见面的地点。	We agreed on the meeting place.	Acordamos el lugar de encuentro.			所在的地方	the place where something is located	el lugar donde algo se encuentra
地方	地方	dìfang	place	lugar	这是一个很漂亮的地方。	This is a very beautiful place.	Este es un lugar muy bonito.			某一区域或空间	a certain area or space	una determinada zona o espacio
地图	地圖	dìtú	map	mapa	请看一下这张地图。	Please look at this map.	Por favor, mira este mapa.			表示地理情况的图	a drawing that represents geographic information	dibujo que representa información geográfica
电	電	diàn	electricity	electricidad	昨晚停电了。	The power went out last night.	Anoche se fue la luz.			一种能源，可用于照明和驱动机器	a form of energy used for lighting and powering machines	una forma de energía usada para iluminar y hacer funcionar máquinas
电梯	電梯	diàntī	elevator	ascensor	我们坐电梯上楼。	We take the elevator upstairs.	Subimos en ascensor.			用来上下楼的机器	a machine used to go up and down floors	máquina usada para subir y bajar pisos
电子书	電子書	diànzǐshū	e-book	libro electrónico	我喜欢在手机上看电子书。	I like reading e-books on my phone.	Me gusta leer libros electrónicos en el móvil.			以电子形式存在的书	a book that exists in electronic form	libro que existe en forma electrónica
丢	丟	diū	to lose, to throw away	perder, tirar	我把手机丢了。	I lost my phone.	Perdí mi móvil.			遗失，或扔掉	to lose, or to throw away	perder, o tirar
东	東	dōng	east	este	太阳从东边升起。	The sun rises in the east.	El sol sale por el este.			四个方向之一，与西相对	one of the four directions, opposite of west	una de las cuatro direcciones, opuesta al oeste
东北	東北	dōngběi	northeast	noreste	他是中国东北人。	He is from northeast China.	Él es del noreste de China.			东和北之间的方向	the direction between east and north	la dirección entre el este y el norte
东方	東方	dōngfāng	east	oriente	太阳从东方升起。	The sun rises from the east.	El sol sale por el oriente.			东边的方向或地区	the eastern direction or region	la dirección o región del este
东南	東南	dōngnán	southeast	sureste	他去了东南亚旅游。	He traveled to Southeast Asia.	Viajó al sureste asiático.			东和南之间的方向	the direction between east and south	la dirección entre el este y el sur
冬天	冬天	dōngtiān	winter	invierno	冬天下雪了。	It snowed in winter.	Nevó en invierno.			一年四季中最冷的季节	the coldest season of the year	la estación más fría del año
懂得	懂得	dǒngde	to understand	comprender	他懂得很多道理。	He understands many principles.	Él comprende muchos principios.			知道，了解	to know, to comprehend	saber, comprender
动物	動物	dòngwù	animal	animal	我喜欢小动物。	I like small animals.	Me gustan los animales pequeños.			有生命、能自由活动的生物	a living being capable of free movement	un ser vivo capaz de moverse libremente
动物园	動物園	dòngwùyuán	zoo	zoológico	我们周末去动物园。	We're going to the zoo this weekend.	Vamos al zoológico este fin de semana.			饲养展示动物供人参观的地方	a place that keeps and displays animals for visitors	lugar que cría y exhibe animales para los visitantes
短	短	duǎn	short	corto	这条裙子有点儿短。	This skirt is a bit short.	Esta falda es un poco corta.			长度小	small in length	de longitud pequeña
短裤	短褲	duǎnkù	shorts	pantalones cortos	夏天我常穿短裤。	I often wear shorts in summer.	En verano suelo llevar pantalones cortos.			裤腿很短的裤子	pants with very short legs	pantalones con perneras muy cortas
段	段	duàn	measure word for segment, paragraph	(clasificador de tramos, párrafos)	请读第一段。	Please read the first paragraph.	Por favor, lee el primer párrafo.			事物的一部分的量词	a measure word for a part of something	clasificador para una parte de algo
锻炼	鍛煉	duànliàn	to exercise	hacer ejercicio	他每天锻炼身体。	He exercises every day.	Él hace ejercicio todos los días.			通过运动增强体质	to strengthen the body through exercise	fortalecer el cuerpo mediante el ejercicio
对话	對話	duìhuà	dialogue, conversation	diálogo	请听下面的对话。	Please listen to the following dialogue.	Por favor, escucha el siguiente diálogo.			两个人或多人之间的谈话	a conversation between two or more people	una conversación entre dos o más personas
饿	餓	è	hungry	hambriento	我饿了，想吃东西。	I'm hungry, I want to eat something.	Tengo hambre, quiero comer algo.			肚子空，想吃东西	an empty stomach, wanting to eat	estómago vacío, con ganas de comer
而且	而且	érqiě	and, moreover	y además	这个包很好看，而且不贵。	This bag is nice-looking, and moreover it's not expensive.	Este bolso es bonito, y además no es caro.			表示进一步补充	indicates a further addition	indica una adición adicional
耳朵	耳朵	ěrduo	ear	oreja	他的耳朵很大。	His ears are very big.	Sus orejas son muy grandes.			用来听声音的器官	the organ used for hearing	el órgano usado para oír
耳机	耳機	ěrjī	earphone	auriculares	我喜欢戴耳机听音乐。	I like wearing earphones to listen to music.	Me gusta ponerme los auriculares para escuchar música.			戴在耳朵上听声音的设备	a device worn on the ear to listen to sound	dispositivo que se lleva en la oreja para escuchar sonido
发	發	fā	to send, to issue	enviar	我给他发了一条短信。	I sent him a text message.	Le envié un mensaje de texto.			送出，交付	to send out, to deliver	enviar, entregar
发烧	發燒	fāshāo	to have a fever	tener fiebre	孩子发烧了，得看医生。	The child has a fever, we need to see a doctor.	El niño tiene fiebre, hay que ir al médico.			体温比正常高	body temperature higher than normal	temperatura corporal más alta de lo normal
发生	發生	fāshēng	to happen	suceder	昨天发生了一件有趣的事。	An interesting thing happened yesterday.	Ayer sucedió algo interesante.			事情出现，产生	an event occurs, arises	un suceso ocurre, surge
发现	發現	fāxiàn	to find, to discover	descubrir	我发现了一个好办法。	I discovered a good method.	Descubrí un buen método.			找到之前不知道的事物	to find something previously unknown	encontrar algo que antes no se conocía
发展	發展	fāzhǎn	to develop	desarrollar	这个城市发展得很快。	This city is developing quickly.	Esta ciudad se desarrolla rápidamente.			事物从小到大、从简单到复杂的变化	a change from small to large, simple to complex	un cambio de pequeño a grande, de simple a complejo
方便	方便	fāngbiàn	convenient	conveniente	网上购物很方便。	Online shopping is very convenient.	Comprar por internet es muy conveniente.			容易，没有困难	easy, without difficulty	fácil, sin dificultad
方便面	方便麵	fāngbiànmiàn	instant noodles	fideos instantáneos	他晚上煮了一碗方便面。	He cooked a bowl of instant noodles at night.	Por la noche se preparó un bol de fideos instantáneos.			加热水就能吃的面条	noodles that can be eaten just by adding hot water	fideos que se pueden comer con solo añadir agua caliente
方法	方法	fāngfǎ	method	método	这是一个学习汉语的好方法。	This is a good method for learning Chinese.	Este es un buen método para aprender chino.			解决问题的步骤或途径	the steps or approach to solving a problem	los pasos o el enfoque para resolver un problema
方向	方向	fāngxiàng	direction	dirección	我们走错方向了。	We went the wrong direction.	Fuimos en la dirección equivocada.			前进或所在的方位	the orientation of movement or location	la orientación del movimiento o la ubicación
房子	房子	fángzi	house	casa	他们买了一套新房子。	They bought a new house.	Compraron una casa nueva.			供人居住的建筑	a building for people to live in	edificio para que la gente viva
放	放	fàng	to put, to place	poner	请把书放在桌子上。	Please put the book on the table.	Por favor, pon el libro sobre la mesa.			使物体处于某个位置	to make an object be in a certain position	hacer que un objeto esté en cierta posición
放假	放假	fàngjià	to have a holiday	estar de vacaciones	我们下周放假。	We're on holiday next week.	La semana que viene estamos de vacaciones.			按规定停止上课或上班	to stop classes or work as scheduled	dejar de asistir a clases o trabajo según lo establecido
放心	放心	fàngxīn	to relax, to feel at ease	estar tranquilo	你放心，一切都很顺利。	Don't worry, everything is going smoothly.	Quédate tranquilo, todo va bien.			心里没有顾虑	having no worries in one's heart	no tener preocupaciones en el corazón
放学	放學	fàngxué	school is over	salir de clase	孩子们放学回家了。	The children went home after school.	Los niños se fueron a casa al salir de clase.			学校每天规定的下课时间	the daily scheduled time classes end at school	la hora diaria en que terminan las clases en la escuela
分开	分開	fēnkāi	to separate	separar(se)	他们最终还是分开了。	In the end, they still separated.	Al final, se separaron.			使不再连接或在一起	to make no longer connected or together	hacer que ya no estén conectados o juntos
风	風	fēng	wind	viento	今天风很大。	The wind is very strong today.	Hoy hace mucho viento.			空气流动的现象	the phenomenon of moving air	el fenómeno del aire en movimiento
封	封	fēng	measure word for letters	(clasificador de cartas)	我给她写了一封信。	I wrote her a letter.	Le escribí una carta.			用于信件的量词	a measure word for letters	clasificador para cartas
夫妻	夫妻	fūqī	husband and wife	matrimonio	他们是一对幸福的夫妻。	They are a happy married couple.	Son un matrimonio feliz.			丈夫和妻子	husband and wife	marido y mujer
服务	服務	fúwù	to serve	servir	这家酒店的服务很好。	This hotel's service is very good.	El servicio de este hotel es muy bueno.			为别人做事，满足其需要	to do things for others, meeting their needs	hacer cosas por otros, satisfaciendo sus necesidades
附近	附近	fùjìn	nearby	cerca, en las proximidades	附近有一家超市。	There's a supermarket nearby.	Hay un supermercado cerca.			靠近某地的地方	a place close to somewhere	lugar cercano a algún sitio
复习	複習	fùxí	to review	repasar	我在复习考试内容。	I'm reviewing the exam material.	Estoy repasando el contenido del examen.			重新学习已经学过的内容	to relearn content already studied	volver a estudiar contenido ya aprendido
该	該	gāi	should	deber	你该休息一下了。	You should take a rest now.	Deberías descansar un poco.			应当	ought to	deber, corresponder
干净	乾淨	gānjìng	clean	limpio	房间打扫得很干净。	The room was cleaned very well.	La habitación quedó muy limpia.			没有灰尘和污渍	free of dust and dirt	sin polvo ni suciedad
感兴趣	感興趣	gǎn xìngqù	to be interested in	estar interesado en	我对中国历史很感兴趣。	I'm very interested in Chinese history.	Estoy muy interesado en la historia china.			对某事物有兴趣	to have interest in something	tener interés en algo
感到	感到	gǎndào	to feel	sentir	他感到很高兴。	He feels very happy.	Se siente muy contento.			内心产生某种感觉	to have a certain feeling arise inside	que surja cierto sentimiento por dentro
感冒	感冒	gǎnmào	cold; to catch a cold	resfriado; resfriarse	我感冒了，头很疼。	I caught a cold, my head hurts a lot.	Me he resfriado, me duele mucho la cabeza.			一种常见的呼吸道疾病	a common respiratory illness	una enfermedad respiratoria común
干	幹	gàn	to do, to work	hacer, trabajar	你在干什么？	What are you doing?	¿Qué estás haciendo?			做事，从事某种工作	to do something, to engage in some work	hacer algo, dedicarse a algún trabajo
刚	剛	gāng	just, just now	justo, recién	他刚到家。	He just got home.	Acaba de llegar a casa.			表示动作发生在不久前	indicates an action happened not long ago	indica que una acción ocurrió hace poco
刚才	剛才	gāngcái	just now	hace un momento	刚才是谁给我打电话？	Who called me just now?	¿Quién me llamó hace un momento?			指刚过去的时间	refers to the time that just passed	se refiere al tiempo que acaba de pasar
刚刚	剛剛	gānggāng	just now, a moment ago	hace un instante	他刚刚离开。	He just left.	Acaba de irse.			强调时间刚过去不久	emphasizes that the time has only just passed	enfatiza que el tiempo acaba de pasar
高铁	高鐵	gāotiě	high-speed rail	tren de alta velocidad	我坐高铁去上海。	I take the high-speed rail to Shanghai.	Voy a Shanghái en tren de alta velocidad.			速度很快的火车	a very fast train	un tren muy rápido
根据	根據	gēnjù	to base on; according to	basarse en; según	根据天气预报，明天会下雨。	According to the weather forecast, it will rain tomorrow.	Según el pronóstico, mañana lloverá.			以某种事实为依据	to take a certain fact as a basis	tomar cierto hecho como base
更	更	gèng	more	más	今天比昨天更冷。	Today is even colder than yesterday.	Hoy hace aún más frío que ayer.			表示程度上又深一层	indicates a further degree	indica un grado adicional
公斤	公斤	gōngjīn	kilogram	kilogramo	这个包重五公斤。	This bag weighs five kilograms.	Esta bolsa pesa cinco kilogramos.			重量单位	a unit of weight	unidad de peso
